chapter_id,week,all_feats,buildings,highways,amenities,other,mappers
71,2023-03-20,581,571,10,0,0,1
4,2023-03-20,4657,4329,317,4,7,3
44,2023-03-20,684,648,34,0,2,5
1190,2020-06-29,963,741,189,1,32,1
44,2020-06-29,6026,5371,173,2,480,7
88,2020-06-29,582,480,2,0,100,2
50,2020-07-06,8635,8219,264,7,145,5
1,2020-07-06,4870,3842,889,2,137,3
1075,2020-07-06,222,106,48,2,66,1
42,2020-07-06,788,574,211,1,2,2
219,2020-07-06,1868,1588,211,1,68,6
229,2020-07-06,693,445,162,0,86,1
1074,2020-07-06,1576,1440,134,1,1,2
1043,2020-07-06,206,55,34,7,110,4
119,2020-07-13,376,201,12,142,21,3
1132,2020-07-13,1173,867,148,79,79,2
53,2020-07-13,526,467,36,6,17,5
4,2020-07-13,39,2,11,13,13,1
110,2020-07-13,329,322,6,1,0,2
72,2020-07-13,154,68,86,0,0,1
4,2020-07-20,214,2,194,4,14,1
5,2020-07-20,177,170,0,1,6,2
44,2023-10-30,7092,7052,28,3,9,8
1190,2020-06-22,1544,1088,382,3,71,1
51,2021-10-18,102,101,1,0,0,1
1085,2017-10-02,375,354,17,1,3,1
208,2024-11-25,1,1,0,1,-1,1
53,2024-12-09,17,8,1,5,3,2
1422,2024-12-09,189,184,2,0,3,1
1149,2024-12-16,62,1,19,16,26,1
1069,2022-04-04,11823,11583,206,12,22,2
1057,2022-04-04,283,282,1,0,0,2
108,2023-03-20,191,109,5,0,77,2
1053,2020-07-20,10590,10522,10,2,56,3
1132,2020-07-20,1648,1311,146,37,154,2
110,2020-07-20,737,684,9,23,21,4
964,2020-07-20,1053,49,218,24,762,1
1098,2021-06-07,48490,47438,673,5,374,10
3,2021-06-07,39682,38110,428,2,1142,9
1,2021-06-07,796,662,126,2,6,3
42,2021-06-14,677,246,429,0,2,3
3,2021-06-14,16580,16076,139,4,361,8
1098,2021-06-14,22461,21736,395,5,325,13
1290,2021-06-14,673,135,188,71,279,1
219,2021-06-14,1504,1409,6,0,89,3
1048,2021-06-21,1281,1222,56,0,3,1
3,2021-06-21,12801,11652,453,1,695,4
1098,2021-06-21,5217,4798,164,2,253,10
2,2015-02-23,733,627,96,0,10,5
91,2015-03-02,117,0,105,3,9,1
93,2023-07-10,1696,1575,75,0,46,1
110,2023-07-10,2039,1893,22,9,115,9
77,2023-07-10,2614,2462,96,12,44,6
44,2023-07-10,9124,8984,124,1,15,12
63,2023-07-10,239,65,17,4,153,1
1010,2023-07-10,430,196,129,34,71,21
91,2023-07-10,215,20,147,9,39,1
1132,2023-07-10,136,53,32,26,25,2
1071,2023-07-10,1412,765,485,0,162,3
964,2023-07-10,391,81,99,29,182,2
123,2023-07-10,471,418,50,0,3,2
1132,2023-07-17,549,108,148,129,164,2
44,2023-07-17,8788,8531,223,2,32,10
110,2023-07-17,1706,1527,31,6,142,6
123,2023-07-17,1764,1612,145,0,7,2
108,2023-07-17,132,86,32,6,8,1
1071,2023-07-17,4262,1699,1515,3,1045,3
71,2023-07-17,581,581,0,0,0,1
77,2023-07-17,315,239,53,15,8,4
964,2023-07-17,842,27,306,111,398,3
53,2023-07-17,138,37,24,28,49,3
93,2023-07-17,588,410,160,0,18,4
1071,2023-07-24,3307,1907,859,1,540,4
123,2023-07-24,4615,4199,411,0,5,2
91,2018-05-14,2249,1582,293,88,286,2
964,2018-05-14,26,3,0,10,13,2
5,2018-05-14,92530,85813,2002,1254,3461,9
69,2018-05-14,84,12,3,0,69,3
91,2018-05-28,1643,1193,261,69,120,3
86,2018-05-28,929,912,12,0,5,4
1081,2018-06-04,3314,0,816,2,2496,1
1190,2018-06-11,13983,13975,6,0,2,2
1035,2019-11-18,93,6,6,0,81,6
1100,2019-11-18,2903,887,1999,8,9,1
4,2019-11-25,3127,2609,252,6,260,2
964,2019-11-25,2232,101,587,88,1456,1
88,2019-11-25,445,442,0,0,3,1
57,2019-11-25,25,12,3,5,5,2
91,2019-11-25,3750,3144,16,227,363,2
91,2019-12-02,2550,472,101,84,1893,1
4,2019-12-02,2712,2557,126,2,27,2
60,2019-12-02,231,220,7,0,4,2
1098,2019-04-08,90,68,19,1,2,3
99,2019-04-08,614,613,1,0,0,4
1085,2019-04-08,1727,1491,169,0,67,9
4,2019-04-15,24082,23613,469,0,0,1
964,2019-04-15,519,75,118,97,229,1
1132,2019-04-15,1145,1054,83,5,3,2
53,2019-04-15,443,394,25,2,22,2
4,2019-04-22,6031,5985,46,0,0,1
91,2019-04-22,504,56,100,26,322,1
5,2019-04-22,6551,6476,70,0,5,4
110,2019-04-22,99,66,21,0,12,2
119,2019-04-22,60,4,55,0,1,1
58,2019-04-22,1197,1117,57,0,23,4
